Theme,Question,Reponse
Grossesse,comment prendre soin de moi pendant la grossesse ?, Vous devez plus vous reposer et manger davantage. 
Grossesse,Quels sont les signes de danger que les femmes enceintes doivent connaître ?,"Les signes de danger incluent des saignements abondants, des douleurs abdominales sévères, des maux de tête persistants, une augmentation soudaine du gonflement des doigts, du visage et des jambes, et tout changement de mouvement du fœtus."
Grossesse,Que devrais-je manger pour rester en bonne santé pendant ma grossesse ? Quels aliments sont bons pour une femme enceinte ?,"Je vous recommande de suivre une alimentation saine, riche en fruits, légumes, protéines et grains entiers, tout en maintenant une activité physique modérée. Cela vous aidera à rester en bonne santé et à éviter un gain de poids excessif."
Grossesse,Devrais-je prendre des suppléments alimentaires pendant ma grossesse ?,"Oui, dans les populations sous-alimentées, une supplémentation alimentaire équilibrée en énergie et en protéines est recommandée pour réduire les risques de mortinaissance et de petite taille pour l’âge gestationnel de votre bébé."
Grossesse,Dois-je prendre du fer et de l'acide folique pendant ma grossesse ?,"Oui, je recommande une supplémentation quotidienne en fer (30 à 60 mg) et en acide folique (400 µg). Cela aide à prévenir l'anémie et d'autres complications comme le faible poids à la naissance."
Grossesse,Dois-je prendre de la vitamine A pendant ma grossesse ?,La supplémentation en vitamine A n'est recommandée que si vous vivez dans une région où cette carence est un problème de santé publique sévère. Cela peut aider à prévenir des problèmes comme la cécité nocturne.
Grossesse,Quelle aliment consonmer pendant la grossesse,"Les aliments que vous devriez manger davantage sont des légumes, de la viande. Essayez aussi de manger des fruits, des haricots, du poisson, des œufs, du fromage et du lait. "
Grossesse,Devrais-je prendre des suppléments de zinc pendant ma grossesse ? Est-ce qu'on peut consommer du zinc pendant la grossesse?,La supplémentation en zinc n'est recommandée que dans le cadre d'une recherche rigoureuse. NON RECOMMANDé
Grossesse,Est-ce que la vitamine B6 est bénéfique pendant la grossesse ?,La supplémentation en vitamine B6 (pyridoxine) n’est pas recommandée pour améliorer les résultats maternels et périnatales de votre grossesse.  NON RECOMMANDé
Grossesse,Que dire des vitamines E et C ? Devrais-je les prendre ? Pendant ma grossesse.,Les suppléments de vitamines E et C ne sont pas recommandés pour les femmes enceintes pour améliorer les résultats de grossesse.  NON RECOMMANDé
Grossesse,"Et la vitamine D, devrais-je la prendre pendant ma grossesse ?","Actuellement, la supplémentation en vitamine D n'est pas recommandée pour améliorer les résultats de la grossesse.  NON RECOMMANDé"
Grossesse,"À propos de la caféine, est-ce que je devrais en réduire ma consommation ? Est-ce qu'on peut consommer où boire de la caféine pendant la grossesse?","Si vous consommez plus de 300 mg de caféine par jour, il est conseillé de réduire votre consommation pendant la grossesse, car cela peut réduire le risque d’arrêt de grossesse et de faible poids de naissance."
Grossesse,La cardiotocographie est-elle nécessaire pendant ma grossesse ?,La cardiotocographie prénatale systématique n'est pas recommandée pour améliorer les résultats de la grossesse.  NON RECOMMANDé
Grossesse,Pourquoi devrais-je avoir une échographie tôt dans ma grossesse ?,"Une échographie avant 24 semaines est recommandée pour estimer l'âge gestationnel, détecter des anomalies fœtales et des grossesses multiples, et améliorer le vécu de la grossesse par les femmes."
Grossesse,Devrais-je me faire vacciner contre le tétanos pendant ma grossesse ?,"Oui, la vaccination par l'anatoxine tétanique est recommandée pour toutes les femmes enceintes, en fonction de leur exposition antérieure à la vaccination antitétanique. Cela aide à prévenir la mortalité néonatale due au tétanos."
Grossesse,Que dois-je faire si je vis dans une zone où le paludisme est courant ?,"Dans ces zones, un traitement préventif intermittent par sulfadoxine-pyriméthamine est recommandé pour toutes les femmes enceintes. Ce traitement doit commencer au cours du deuxième trimestre et être administré en trois doses espacées d'au moins un mois.  NON RECOMMANDé"
Grossesse,Existe-t-il des options de prévention contre le VIH pour les femmes enceintes ? Comment éviter le VIH SIDA?,"Oui, pour les femmes enceintes présentant un risque substantiel d'infection par le VIH, une prophylaxie orale préexposition incluant du fumarate de ténofovir disoproxil (TDF) peut être proposée comme option préventive supplémentaire dans le cadre d'approches préventives combinées."
Grossesse,Que puis-je faire pour soulager mes nausées ?,"Pour soulager les nausées pendant le début de la grossesse, le gingembre, la camomille, la vitamine B6 et/ou l'acupuncture sont recommandés, selon vos préférences et les options disponibles."
